                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5882,                 2.7048,                 1.7391,                0.42005,                0.39315,                0.32521,                0.10488,                 2.4634,                 2.3941,                  1.721,              0.0004638,              0.0004638,              0.0004638
                      2,                 2.3686,                 1.9191,                 1.5991,                0.20675,                0.42566,                0.18179,                0.05281,                 2.5621,                 14.577,                 1.7316,             0.00092152,             0.00092152,             0.00092152
                      3,                 2.3598,                 1.9455,                 1.6214,                0.24084,                  0.281,                0.14115,                0.03768,                  2.799,                  2.769,                 1.8725,              0.0013604,              0.0013604,              0.0013604
                      4,                 2.3848,                 1.8853,                 1.6165,                 0.4248,                0.43606,                0.37495,                0.11843,                 2.4468,                 2.2275,                 1.6938,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.3333,                 1.8204,                 1.6007,                0.35786,                0.40584,                0.29981,                 0.0867,                 2.5787,                 2.2614,                 1.7098,              0.0013158,              0.0013158,              0.0013158
                      6,                 2.3181,                 1.7403,                 1.5502,                0.50313,                 0.4724,                0.45126,                0.14326,                 2.3958,                 1.7485,                 1.5535,              0.0012875,              0.0012875,              0.0012875
                      7,                  2.323,                 1.6685,                  1.562,                0.55464,                0.47842,                0.50142,                0.15654,                 2.3707,                 1.6925,                 1.5877,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.2697,                 1.7237,                 1.5364,                0.48823,                0.48394,                0.47148,                0.15888,                 2.3824,                 1.6804,                 1.5268,              0.0012309,              0.0012309,              0.0012309
                      9,                 2.2614,                 1.6863,                 1.5156,                0.50221,                0.47544,                0.45806,                 0.1449,                  2.399,                 1.6841,                 1.5446,              0.0012026,              0.0012026,              0.0012026
                     10,                 2.2333,                 1.6293,                 1.5055,                0.54242,                0.50003,                0.48168,                0.15847,                 2.3344,                 1.6811,                 1.5373,              0.0011744,              0.0011744,              0.0011744
                     11,                 2.2195,                 1.6181,                 1.5045,                 0.4815,                0.57054,                0.46423,                0.15357,                 2.2913,                 1.6606,                 1.4848,              0.0011461,              0.0011461,              0.0011461
                     12,                 2.2228,                  1.596,                 1.4793,                0.55905,                0.52236,                0.51794,                0.16652,                 2.3776,                 1.5852,                 1.5382,              0.0011178,              0.0011178,              0.0011178
                     13,                 2.2161,                 1.6342,                  1.488,                0.54655,                0.50755,                0.51769,                0.16469,                 2.3686,                 1.6337,                 1.5637,              0.0010895,              0.0010895,              0.0010895
